Year,Month,Day,Period,Area 1,Area 2,Area 3
2020,1,1,1,54,54,54
2020,1,1,2,48,48,48
2020,1,1,3,54,54,54
2020,1,1,4,56,56,56
2020,1,1,5,59,59,59
2020,1,1,6,62,62,62
2020,1,1,7,69,69,69
2020,1,1,8,75,75,75
2020,1,1,9,77,77,77
2020,1,1,10,75,75,75
2020,1,1,11,66,66,66
2020,1,1,12,57,57,57
2020,1,1,13,54,54,54
2020,1,1,14,55,55,55
2020,1,1,15,44,44,44
2020,1,1,16,47,47,47
2020,1,1,17,45,45,45
2020,1,1,18,71,71,71
2020,1,1,19,73,73,73
2020,1,1,20,75,75,75
2020,1,1,21,73,73,73
2020,1,1,22,70,70,70
2020,1,1,23,68,68,68
2020,1,1,24,67,67,67
2020,1,2,1,67,67,67
2020,1,2,2,66,66,66
2020,1,2,3,66,66,66
2020,1,2,4,67,67,67
2020,1,2,5,67,67,67
2020,1,2,6,68,68,68
2020,1,2,7,69,69,69
2020,1,2,8,73,73,73
2020,1,2,9,75,75,75
2020,1,2,10,75,75,75
2020,1,2,11,75,75,75
2020,1,2,12,75,75,75
2020,1,2,13,75,75,75
2020,1,2,14,75,75,75
2020,1,2,15,73,73,73
2020,1,2,16,72,72,72
2020,1,2,17,70,70,70
2020,1,2,18,73,73,73
2020,1,2,19,73,73,73
2020,1,2,20,72,72,72
2020,1,2,21,71,71,71
2020,1,2,22,69,69,69
2020,1,2,23,65,65,65
2020,1,2,24,64,64,64
2020,1,3,1,62,62,62
2020,1,3,2,53,53,53
2020,1,3,3,46,46,46
2020,1,3,4,46,46,46
2020,1,3,5,50,50,50
2020,1,3,6,53,53,53
2020,1,3,7,52,52,52
2020,1,3,8,58,58,58
2020,1,3,9,65,65,65
2020,1,3,10,69,69,69
2020,1,3,11,71,71,71
2020,1,3,12,66,66,66
2020,1,3,13,74,74,74
2020,1,3,14,73,73,73
2020,1,3,15,72,72,72
2020,1,3,16,72,72,72
2020,1,3,17,71,71,71
2020,1,3,18,66,66,66
2020,1,3,19,66,66,66
2020,1,3,20,70,70,70
2020,1,3,21,72,72,72
2020,1,3,22,70,70,70
2020,1,3,23,69,69,69
2020,1,3,24,69,69,69
2020,1,4,1,57,57,57
2020,1,4,2,46,46,46
2020,1,4,3,38,38,38
2020,1,4,4,42,42,42
2020,1,4,5,49,49,49
2020,1,4,6,48,48,48
2020,1,4,7,43,43,43
2020,1,4,8,51,51,51
2020,1,4,9,52,52,52
2020,1,4,10,51,51,51
2020,1,4,11,51,51,51
2020,1,4,12,58,58,58
2020,1,4,13,67,67,67
2020,1,4,14,73,73,73
2020,1,4,15,71,71,71
2020,1,4,16,71,71,71
2020,1,4,17,67,67,67
2020,1,4,18,73,73,73
2020,1,4,19,71,71,71
2020,1,4,20,64,64,64
2020,1,4,21,53,53,53
2020,1,4,22,50,50,50
2020,1,4,23,49,49,49
2020,1,4,24,47,47,47
2020,1,5,1,47,47,47
2020,1,5,2,46,46,46
2020,1,5,3,46,46,46
2020,1,5,4,46,46,46
2020,1,5,5,46,46,46
2020,1,5,6,47,47,47
2020,1,5,7,47,47,47
2020,1,5,8,53,53,53
2020,1,5,9,59,59,59
2020,1,5,10,56,56,56
2020,1,5,11,62,62,62
2020,1,5,12,72,72,72
2020,1,5,13,72,72,72
2020,1,5,14,73,73,73
2020,1,5,15,70,70,70
2020,1,5,16,71,71,71
2020,1,5,17,70,70,70
2020,1,5,18,57,57,57
2020,1,5,19,58,58,58
2020,1,5,20,63,63,63
2020,1,5,21,69,69,69
2020,1,5,22,70,70,70
2020,1,5,23,69,69,69
2020,1,5,24,66,66,66
2020,1,6,1,60,60,60
2020,1,6,2,58,58,58
2020,1,6,3,57,57,57
2020,1,6,4,49,49,49
2020,1,6,5,51,51,51
2020,1,6,6,51,51,51
2020,1,6,7,55,55,55
2020,1,6,8,59,59,59
2020,1,6,9,59,59,59
2020,1,6,10,59,59,59
