,p_mp
1998-01-01 00:30:00-07:00,0.0
1998-01-01 01:30:00-07:00,0.0
1998-01-01 02:30:00-07:00,0.0
1998-01-01 03:30:00-07:00,0.0
1998-01-01 04:30:00-07:00,0.0
1998-01-01 05:30:00-07:00,0.0
1998-01-01 06:30:00-07:00,0.0
1998-01-01 07:30:00-07:00,0.0
1998-01-01 08:30:00-07:00,7.497207682485964
1998-01-01 09:30:00-07:00,15.061768103207422
1998-01-01 10:30:00-07:00,20.34210155169377
1998-01-01 11:30:00-07:00,23.459545214319252
1998-01-01 12:30:00-07:00,24.505626906127784
1998-01-01 13:30:00-07:00,23.630426774758483
1998-01-01 14:30:00-07:00,20.92778538478587
1998-01-01 15:30:00-07:00,16.395650075000276
1998-01-01 16:30:00-07:00,9.674018253563988
1998-01-01 17:30:00-07:00,0.0
1998-01-01 18:30:00-07:00,0.0
1998-01-01 19:30:00-07:00,0.0
1998-01-01 20:30:00-07:00,0.0
1998-01-01 21:30:00-07:00,0.0
1998-01-01 22:30:00-07:00,0.0
1998-01-01 23:30:00-07:00,0.0
1998-01-02 00:30:00-07:00,0.0
1998-01-02 01:30:00-07:00,0.0
1998-01-02 02:30:00-07:00,0.0
1998-01-02 03:30:00-07:00,0.0
1998-01-02 04:30:00-07:00,0.0
1998-01-02 05:30:00-07:00,0.0
1998-01-02 06:30:00-07:00,0.0
1998-01-02 07:30:00-07:00,0.0
1998-01-02 08:30:00-07:00,6.979607708042499
1998-01-02 09:30:00-07:00,14.435260739255991
1998-01-02 10:30:00-07:00,19.78911496819257
1998-01-02 11:30:00-07:00,22.84595831644126
1998-01-02 12:30:00-07:00,24.092003573036507
1998-01-02 13:30:00-07:00,23.346115283092306
1998-01-02 14:30:00-07:00,20.824344792772546
1998-01-02 15:30:00-07:00,16.06921990961569
1998-01-02 16:30:00-07:00,9.288808678628381
1998-01-02 17:30:00-07:00,0.0
1998-01-02 18:30:00-07:00,0.0
1998-01-02 19:30:00-07:00,0.0
1998-01-02 20:30:00-07:00,0.0
1998-01-02 21:30:00-07:00,0.0
1998-01-02 22:30:00-07:00,0.0
1998-01-02 23:30:00-07:00,0.0
1998-01-03 00:30:00-07:00,0.0
1998-01-03 01:30:00-07:00,0.0
1998-01-03 02:30:00-07:00,0.0
1998-01-03 03:30:00-07:00,0.0
1998-01-03 04:30:00-07:00,0.0
1998-01-03 05:30:00-07:00,0.0
1998-01-03 06:30:00-07:00,0.0
1998-01-03 07:30:00-07:00,0.0
1998-01-03 08:30:00-07:00,7.325008371057234
1998-01-03 09:30:00-07:00,14.9342959948966
1998-01-03 10:30:00-07:00,20.224185684930323
1998-01-03 11:30:00-07:00,23.389326367245268
1998-01-03 12:30:00-07:00,24.558870730881157
1998-01-03 13:30:00-07:00,23.863521956409322
1998-01-03 14:30:00-07:00,21.286314434320456
1998-01-03 15:30:00-07:00,16.595923846088652
1998-01-03 16:30:00-07:00,9.961678404151286
1998-01-03 17:30:00-07:00,1.3736018017952922
1998-01-03 18:30:00-07:00,0.0
1998-01-03 19:30:00-07:00,0.0
1998-01-03 20:30:00-07:00,0.0
1998-01-03 21:30:00-07:00,0.0
1998-01-03 22:30:00-07:00,0.0
1998-01-03 23:30:00-07:00,0.0
1998-01-04 00:30:00-07:00,0.0
1998-01-04 01:30:00-07:00,0.0
1998-01-04 02:30:00-07:00,0.0
1998-01-04 03:30:00-07:00,0.0
1998-01-04 04:30:00-07:00,0.0
1998-01-04 05:30:00-07:00,0.0
1998-01-04 06:30:00-07:00,0.0
1998-01-04 07:30:00-07:00,0.0
1998-01-04 08:30:00-07:00,7.214110916778758
1998-01-04 09:30:00-07:00,14.835421512106045
1998-01-04 10:30:00-07:00,20.0652143875031
1998-01-04 11:30:00-07:00,23.495999136999263
1998-01-04 12:30:00-07:00,24.910044559258267
1998-01-04 13:30:00-07:00,24.306377652785308
1998-01-04 14:30:00-07:00,21.584844319851754
